                   0 a=    x, b=    x, c=x, s=    x, cout=x
                4050 a=34106, b=64365, c=0, s=32935, cout=1
                4060 a=28298, b=19059, c=1, s=47358, cout=0
                4070 a=12144, b=56397, c=1, s= 3006, cout=1
                4080 a=45402, b=45561, c=0, s=25427, cout=1
                4090 a=63451, b=60147, c=0, s=58062, cout=1
                4100 a=21120, b=44889, c=0, s=  473, cout=1
                4110 a=55614, b= 2997, c=0, s=58611, cout=0
                4120 a=55673, b=42204, c=0, s=32341, cout=1
                4130 a= 8870, b=32595, c=1, s=41466, cout=0
                4140 a=47075, b=13184, c=0, s=60259, cout=0
                4150 a= 8998, b=23642, c=0, s=32640, cout=0
                4160 a=20973, b=28292, c=1, s=49266, cout=0
                4170 a=20290, b=40436, c=0, s=60726, cout=0
                4180 a= 2793, b=62190, c=0, s=64983, cout=0
                4190 a=52215, b=55641, c=1, s=42321, cout=1
                4200 a= 8960, b=53113, c=0, s=62073, cout=0
                4210 a= 8050, b=38727, c=1, s=46778, cout=0
                4220 a=50037, b=  753, c=0, s=50790, cout=0
                4230 a=13481, b= 9623, c=1, s=23105, cout=0
                4240 a=40783, b=33050, c=1, s= 8298, cout=1
                4250 a=61825, b=42049, c=0, s=38338, cout=1
                4260 a=53585, b=63022, c=0, s=51071, cout=1
                4270 a=64405, b=59664, c=1, s=58534, cout=1
                4280 a=14325, b=38809, c=1, s=53135, cout=0
                4290 a=33455, b=21024, c=1, s=54480, cout=0
                4300 a=19084, b=29984, c=0, s=49068, cout=0
                4310 a=49603, b=38035, c=0, s=22102, cout=1
                4320 a=13118, b=64424, c=1, s=12007, cout=1
                4330 a=18838, b=54257, c=0, s= 7559, cout=1
                4340 a= 9858, b=25040, c=1, s=34899, cout=0
                4350 a=14061, b=63218, c=0, s=11743, cout=1
                4360 a=41907, b=46803, c=0, s=23174, cout=1
                4370 a=50750, b=17560, c=0, s= 2774, cout=1
                4380 a=53677, b=31886, c=1, s=20028, cout=1
                4390 a=25146, b=41693, c=1, s= 1304, cout=1
                4400 a=52257, b=60778, c=0, s=47499, cout=1
                4410 a=38834, b=40381, c=1, s=13680, cout=1
                4420 a=64138, b=53499, c=1, s=52102, cout=1
                4430 a= 1011, b=48690, c=0, s=49701, cout=0
                4440 a= 8579, b=58548, c=1, s= 1592, cout=1
                4450 a=30014, b= 2609, c=1, s=32624, cout=0
                4460 a=23498, b=20869, c=0, s=44367, cout=0
                4470 a=56356, b= 1619, c=1, s=57976, cout=0
                4480 a= 8878, b=31648, c=1, s=40527, cout=0
                4490 a=  209, b=56794, c=0, s=57003, cout=0
                4500 a=58917, b=15404, c=0, s= 8785, cout=1
                4510 a=31257, b=54238, c=1, s=19960, cout=1
                4520 a=64336, b=24728, c=1, s=23529, cout=1
                4530 a=21839, b=21275, c=1, s=43115, cout=0
