                   0 a=    x, b=    x, c=x, s=    x, cout=x
                 345 a=22557, b=18382, c=0, s=41195, cout=0
                 347 a=22557, b=18382, c=0, s=41451, cout=0
                 349 a=22557, b=18382, c=0, s=41963, cout=0
                 350 a= 6541, b=54402, c=0, s=41963, cout=0
                 351 a= 6541, b=54402, c=0, s=42987, cout=0
                 352 a= 6541, b=54402, c=0, s=30007, cout=1
                 353 a= 6541, b=54402, c=0, s=64543, cout=1
                 354 a= 6541, b=54402, c=0, s=64543, cout=0
                 355 a= 6541, b=54402, c=0, s=60943, cout=0
                 360 a=53962, b= 9009, c=0, s=60943, cout=0
                 362 a=53962, b= 9009, c=0, s=54011, cout=0
                 363 a=53962, b= 9009, c=0, s=47099, cout=0
                 365 a=53962, b= 9009, c=0, s=30203, cout=0
                 366 a=53962, b= 9009, c=0, s=30203, cout=1
                 367 a=53962, b= 9009, c=0, s=62971, cout=1
                 368 a=53962, b= 9009, c=0, s=62971, cout=0
                 370 a=58935, b= 7048, c=0, s=62971, cout=0
                 372 a=58935, b= 7048, c=0, s=63935, cout=0
                 373 a=58935, b= 7048, c=0, s=61887, cout=0
                 375 a=58935, b= 7048, c=0, s=57791, cout=0
                 377 a=58935, b= 7048, c=0, s=49599, cout=0
                 379 a=58935, b= 7048, c=0, s=33215, cout=0
                 380 a=37094, b=28462, c=1, s=33215, cout=0
                 381 a=37094, b=28462, c=1, s=  446, cout=0
                 382 a=37094, b=28462, c=1, s=  969, cout=1
                 383 a=37094, b=28462, c=1, s= 1925, cout=1
                 385 a=37094, b=28462, c=1, s= 3861, cout=1
                 387 a=37094, b=28462, c=1, s= 7701, cout=1
                 389 a=37094, b=28462, c=1, s=15381, cout=1
                 390 a= 2526, b=22972, c=0, s=15381, cout=1
                 391 a= 2526, b=22972, c=0, s=30740, cout=1
                 392 a= 2526, b=22972, c=0, s=55230, cout=0
                 393 a= 2526, b=22972, c=0, s=17370, cout=0
                 395 a= 2526, b=22972, c=0, s=25370, cout=0
                 397 a= 2526, b=22972, c=0, s=25498, cout=0
                 400 a=21100, b=27651, c=1, s=25498, cout=0
                 401 a=21100, b=27651, c=1, s=25499, cout=0
                 402 a=21100, b=27651, c=1, s= 3478, cout=0
                 403 a=21100, b=27651, c=1, s=55996, cout=0
                 405 a=21100, b=27651, c=1, s=63208, cout=0
                 407 a=21100, b=27651, c=1, s=44640, cout=0
                 409 a=21100, b=27651, c=1, s=40560, cout=0
                 410 a=46280, b=23011, c=0, s=40560, cout=0
                 411 a=46280, b=23011, c=0, s=65137, cout=0
                 412 a=46280, b=23011, c=0, s=11573, cout=1
                 413 a=46280, b=23011, c=0, s=19647, cout=1
                 415 a=46280, b=23011, c=0, s=36523, cout=1
                 416 a=46280, b=23011, c=0, s=36523, cout=0
                 417 a=46280, b=23011, c=0, s= 3755, cout=0
                 418 a=46280, b=23011, c=0, s= 3755, cout=1
                 420 a= 8756, b=52602, c=0, s= 3755, cout=1
                 422 a= 8756, b=52602, c=0, s= 3278, cout=1
                 423 a= 8756, b=52602, c=0, s=10542, cout=1
                 425 a= 8756, b=52602, c=0, s=25518, cout=1
                 427 a= 8756, b=52602, c=0, s=63406, cout=1
                 428 a= 8756, b=52602, c=0, s=63406, cout=0
                 429 a= 8756, b=52602, c=0, s=65454, cout=0
                 430 a=33184, b=58266, c=0, s=65454, cout=0
                 431 a=33184, b=58266, c=0, s=61358, cout=0
                 432 a=33184, b=58266, c=0, s=25306, cout=1
                 433 a=33184, b=58266, c=0, s=24954, cout=1
                 435 a=33184, b=58266, c=0, s=25914, cout=1
                 440 a=57872, b=10823, c=1, s=25914, cout=1
                 441 a=57872, b=10823, c=1, s=25915, cout=1
                 442 a=57872, b=10823, c=1, s=53078, cout=0
                 443 a=57872, b=10823, c=1, s=35924, cout=0
                 445 a=57872, b=10823, c=1, s= 3152, cout=0
                 446 a=57872, b=10823, c=1, s= 3152, cout=1
                 447 a=57872, b=10823, c=1, s= 3160, cout=1
                 450 a=51354, b=63716, c=1, s= 3160, cout=1
                 452 a=51354, b=63716, c=1, s=62577, cout=1
                 453 a=51354, b=63716, c=1, s=41315, cout=1
                 455 a=51354, b=63716, c=1, s=33095, cout=1
                 457 a=51354, b=63716, c=1, s=49423, cout=1
                 459 a=51354, b=63716, c=1, s=49567, cout=1
                 460 a=39170, b=47679, c=0, s=49567, cout=1
                 461 a=39170, b=47679, c=0, s=49598, cout=1
                 462 a=39170, b=47679, c=0, s=54013, cout=1
                 463 a=39170, b=47679, c=0, s=20793, cout=1
                 465 a=39170, b=47679, c=0, s=22321, cout=1
                 467 a=39170, b=47679, c=0, s=21281, cout=1
                 469 a=39170, b=47679, c=0, s=21249, cout=1
                 470 a= 7337, b=36614, c=0, s=21249, cout=1
                 471 a= 7337, b=36614, c=0, s=21313, cout=1
                 472 a= 7337, b=36614, c=0, s=58323, cout=0
                 473 a= 7337, b=36614, c=0, s=44023, cout=0
                 475 a= 7337, b=36614, c=0, s=43967, cout=0
                 477 a= 7337, b=36614, c=0, s=43951, cout=0
                 480 a=47227, b=50061, c=1, s=43951, cout=0
                 481 a=47227, b=50061, c=1, s=43950, cout=0
                 482 a=47227, b=50061, c=1, s=17399, cout=1
                 483 a=47227, b=50061, c=1, s= 3045, cout=1
                 485 a=47227, b=50061, c=1, s=39873, cout=1
                 487 a=47227, b=50061, c=1, s=48009, cout=1
                 489 a=47227, b=50061, c=1, s=64265, cout=1
                 490 a=58332, b=24475, c=1, s=64265, cout=1
                 491 a=58332, b=24475, c=1, s=31241, cout=1
                 492 a=58332, b=24475, c=1, s=48568, cout=0
